y	x
1.06	1.757140456
1.79	0.1547200251
2.00	2.079267837
-1.98	1.005502902
1.99	2.053976773
1.61	2.306585282
1.83	1.957250002
2.00	0.01460351355
0.19	2.586834653
1.76	0.1658775671
-1.82	2.998155786
1.48	1.848581315
1.19	1.78395427
-2.00	1.061632445
0.38	2.554149591
-1.70	0.8626284825
-0.68	2.733490704
-0.62	2.722549895
-1.79	1.20158498
-0.71	0.6452195373
-1.67	2.947866133
-1.75	1.214589965
-1.27	0.7531699048
1.87	1.973386511
1.98	2.051419228
-1.82	2.999887565
0.26	2.57473907
-0.78	1.436964367
-0.78	1.438015465
-1.55	2.913671606
-1.59	0.8312752562
-2.00	1.069763678
-1.81	1.195166597
0.49	0.4405540571
-0.54	1.479567386
-0.23	1.532960324
-0.58	1.47186809
1.99	2.12765001
1.63	0.2054210835
-2.00	1.063223892
-1.25	1.345535059
0.59	0.4233759051
-1.78	1.204369768
1.57	1.870375384
2.00	2.101401438
-1.85	3.013736138
-1.50	0.8060534124
-1.86	0.9201181693
-1.64	0.8436844441
-1.57	0.8247754398
1.13	1.771229114
-2.00	1.031219295
1.67	1.901084834
-0.05	1.562626058
1.77	0.1600699437
-2.00	1.041945894
0.42	1.640601678
0.33	1.626155124
-0.92	2.77741372
-0.05	2.625696194
-1.67	2.948118986
-0.06	2.628531363
1.23	2.398081568
-0.84	1.426126786
1.42	2.355876664
-1.97	1.107579142
-0.55	0.6172337842
-0.24	0.5641819493
1.71	2.277147551
-1.49	1.290512446
1.86	2.221620029
-1.96	3.075168761
-0.19	2.649011038
-0.15	2.643754629
-2.00	1.056935223
1.14	1.773098032
-0.56	0.6177546336
0.46	1.648503914
0.88	2.465482951
1.72	1.916366771
0.67	0.4095880559
0.97	0.3550464519
-1.67	2.947170836
1.93	2.182087175
0.91	2.459793995
1.07	2.42955651
-1.99	1.012101865
-1.77	2.978676461
